,x_lm0,y_lm0,z_lm0,x_lm1,y_lm1,z_lm1,x_lm2,y_lm2,z_lm2,x_lm3,y_lm3,z_lm3,x_lm4,y_lm4,z_lm4,x_lm5,y_lm5,z_lm5,x_lm6,y_lm6,z_lm6,x_lm7,y_lm7,z_lm7,x_lm8,y_lm8,z_lm8,x_lm9,y_lm9,z_lm9,x_lm10,y_lm10,z_lm10,x_lm11,y_lm11,z_lm11,x_lm12,y_lm12,z_lm12,x_lm13,y_lm13,z_lm13,x_lm14,y_lm14,z_lm14,x_lm15,y_lm15,z_lm15,x_lm16,y_lm16,z_lm16,x_lm17,y_lm17,z_lm17,x_lm18,y_lm18,z_lm18,x_lm19,y_lm19,z_lm19,x_lm20,y_lm20,z_lm20
F,0.0,0.0,0.0,0.2560747,-0.05552469,-0.09216649,0.4731227,-0.17290285,-0.15731424,0.5704147,-0.2694748,-0.22779648,0.5913439,-0.33816373,-0.2934409,0.35979745,-0.3864386,-0.095921725,0.48541218,-0.49997982,-0.23765562,0.5661025,-0.4897528,-0.33004847,0.6109567,-0.46619084,-0.3763181,0.19736889,-0.39724067,-0.12614122,0.33530423,-0.5070142,-0.27940947,0.41881543,-0.4577947,-0.34977707,0.4582681,-0.4153777,-0.3712255,0.03248928,-0.3729386,-0.17278545,0.16335954,-0.45730683,-0.33328056,0.24567409,-0.38547602,-0.356381,0.28103244,-0.32974076,-0.3364981,-0.13306732,-0.32078364,-0.22605997,-0.023655115,-0.38281602,-0.34609157,0.05194995,-0.34534025,-0.3517694,0.088461265,-0.3129428,-0.33051273
G,0.0,0.0,0.0,0.24697685,-0.07757608,-0.08800669,0.45685348,-0.20960149,-0.1602288,0.5617978,-0.31145483,-0.23746136,0.5836982,-0.38303703,-0.3086642,0.29648194,-0.41443115,-0.11965115,0.44443205,-0.52187675,-0.26829487,0.5478827,-0.50821453,-0.36023432,0.608044,-0.48427945,-0.40705353,0.14097051,-0.4041483,-0.15517014,0.3179896,-0.502616,-0.31538022,0.40379724,-0.44658947,-0.37717587,0.4298214,-0.40406963,-0.3935192,-0.006095271,-0.35879022,-0.20526613,0.17386635,-0.4283739,-0.36972803,0.26023814,-0.34466353,-0.3757382,0.28080866,-0.28510046,-0.3447196,-0.14428835,-0.28884822,-0.26164728,0.013141178,-0.3422796,-0.37933782,0.09674852,-0.29843542,-0.37280974,0.12436677,-0.26323968,-0.34370264
H,0.0,0.0,0.0,0.22735345,-0.06831079,-0.078634046,0.4322839,-0.17965944,-0.14677052,0.53917444,-0.26309568,-0.21969652,0.5714494,-0.32165822,-0.28867322,0.31845117,-0.37049994,-0.12269593,0.4634785,-0.46305862,-0.2661018,0.5539709,-0.45694533,-0.3567354,0.6093926,-0.44057384,-0.40421298,0.1834316,-0.36521286,-0.15880157,0.3561115,-0.43890563,-0.31653333,0.4463347,-0.38610825,-0.38141045,0.4894272,-0.3454621,-0.40095285,0.05271098,-0.32612163,-0.20668143,0.2237421,-0.36829224,-0.36574847,0.2899715,-0.29154527,-0.3753808,0.30725443,-0.23834342,-0.34800637,-0.07114386,-0.26341957,-0.26010978,0.07823688,-0.29075152,-0.37437272,0.14660671,-0.24563666,-0.3703838,0.17227617,-0.21282497,-0.34339398
I,0.0,0.0,0.0,0.26976553,-0.0664385,-0.07895565,0.49223682,-0.19426276,-0.14273484,0.5985595,-0.29622632,-0.21574038,0.6262415,-0.36991292,-0.28241158,0.33901942,-0.41326404,-0.09060749,0.48067835,-0.5114645,-0.24438389,0.569828,-0.47997767,-0.34062734,0.6180189,-0.44036323,-0.3865213,0.1739149,-0.41671434,-0.12950043,0.35169658,-0.4868303,-0.3016244,0.43929112,-0.39733776,-0.37008914,0.46933922,-0.32868153,-0.3839338,0.011413847,-0.38541773,-0.18503419,0.19369407,-0.4301739,-0.35801223,0.28231955,-0.32668167,-0.3692943,0.30827978,-0.25270367,-0.33575565,-0.14468683,-0.32921058,-0.24646579,0.0006426135,-0.37551743,-0.3668491,0.08340641,-0.3337026,-0.3653783,0.11705994,-0.3025355,-0.33628535
J,0.0,0.0,0.0,0.25901383,-0.05362291,-0.09416038,0.4863376,-0.17020285,-0.1650789,0.5974817,-0.26577744,-0.24251258,0.6210121,-0.33502904,-0.31381705,0.36934456,-0.4014112,-0.1105246,0.504805,-0.49729547,-0.26783356,0.5799027,-0.46300936,-0.36704135,0.6138248,-0.4215606,-0.41364005,0.20635644,-0.410179,-0.14362817,0.35958877,-0.49293643,-0.31483176,0.43786937,-0.41636682,-0.38839936,0.46564388,-0.35406747,-0.40760833,0.041443415,-0.3835418,-0.19374499,0.1912829,-0.44119906,-0.36880225,0.27342072,-0.33998135,-0.3894128,0.30153018,-0.2622934,-0.36204466,-0.11975092,-0.3306506,-0.2506613,-0.00093992066,-0.38736027,-0.37527418,0.08210705,-0.35197848,-0.3821164,0.12476633,-0.32194757,-0.35963202
K,0.0,0.0,0.0,0.26267383,-0.070002116,-0.102864705,0.47292444,-0.20236617,-0.17774801,0.55755717,-0.310949,-0.25912058,0.5622284,-0.388457,-0.33402437,0.31183124,-0.4281753,-0.11111318,0.41777086,-0.5559622,-0.26999947,0.49537012,-0.5529057,-0.37051794,0.53897625,-0.53619856,-0.4211811,0.13720292,-0.42943734,-0.14305285,0.2757694,-0.5341861,-0.32184914,0.37669197,-0.4749172,-0.39712283,0.42575508,-0.4247613,-0.41616765,-0.032897897,-0.39401135,-0.19312134,0.11530922,-0.45614645,-0.37863332,0.21155915,-0.35312822,-0.39320052,0.2483562,-0.27560076,-0.35885978,-0.19558293,-0.33101317,-0.25123677,-0.064711496,-0.37588036,-0.38475323,0.028233528,-0.31976616,-0.38559517,0.07207374,-0.27488565,-0.3558009
L,0.0,0.0,0.0,0.25644684,-0.04956278,-0.10216224,0.47766444,-0.16296718,-0.17586909,0.59500414,-0.25401488,-0.2534699,0.6420872,-0.3197299,-0.3258,0.35436475,-0.3856648,-0.11630036,0.47443995,-0.48931313,-0.27117002,0.53962976,-0.47799614,-0.3693576,0.5697272,-0.45700198,-0.4191747,0.18467554,-0.39651358,-0.14458334,0.32956785,-0.47387886,-0.31819624,0.4004539,-0.3934093,-0.38551784,0.42468214,-0.33072075,-0.39875245,0.013719865,-0.37008703,-0.19020185,0.15640707,-0.41409668,-0.36786154,0.22763562,-0.3095931,-0.3771384,0.24892567,-0.23555668,-0.34142047,-0.15229462,-0.31625167,-0.24348892,-0.035494637,-0.34848943,-0.37226877,0.036367808,-0.2923842,-0.3709089,0.06620075,-0.25219354,-0.34039026
M,0.0,0.0,0.0,0.27487198,-0.058685683,-0.09551618,0.504562,-0.1855951,-0.16331191,0.59755397,-0.2923072,-0.23693329,0.5948676,-0.36882296,-0.30406213,0.3690218,-0.41588002,-0.095290124,0.50498855,-0.5242321,-0.25018656,0.5860639,-0.50168514,-0.3498501,0.62658894,-0.46789345,-0.3984223,0.19467689,-0.42580324,-0.12722316,0.35240078,-0.52188957,-0.29473683,0.43376365,-0.447285,-0.36509374,0.46291345,-0.38604072,-0.3813708,0.020614663,-0.3982414,-0.17731425,0.17698541,-0.46315897,-0.35144845,0.2631786,-0.3635292,-0.3661178,0.29145095,-0.29022035,-0.33539757,-0.14936192,-0.34158817,-0.23467644,-0.0058784797,-0.38485745,-0.3621411,0.08342875,-0.32515404,-0.36182716,0.121775486,-0.2778262,-0.3326629
N,0.0,0.0,0.0,0.26348287,-0.06421984,-0.08475594,0.48108461,-0.18526731,-0.15355952,0.5809802,-0.2820766,-0.23019588,0.5911674,-0.35206082,-0.3022937,0.33147654,-0.40225357,-0.09678792,0.4632433,-0.49531797,-0.24973613,0.5551138,-0.4729579,-0.34729275,0.60940844,-0.43855467,-0.39471462,0.16014658,-0.40438676,-0.13408485,0.3201443,-0.4824069,-0.3008817,0.41355333,-0.40762678,-0.37016913,0.4546428,-0.3474541,-0.38715595,-0.0051849154,-0.37040406,-0.18794465,0.16161522,-0.4142615,-0.3606729,0.24893533,-0.31394437,-0.37279713,0.2782273,-0.24180257,-0.34116217,-0.16108851,-0.3094059,-0.24811646,-0.01848354,-0.34740698,-0.37208602,0.06309717,-0.30260378,-0.37161845,0.09812643,-0.26993278,-0.3438397
O,0.0,0.0,0.0,0.26725632,-0.070777066,-0.07990823,0.4822148,-0.19576865,-0.1462333,0.5897281,-0.29070637,-0.22141655,0.62243205,-0.3588668,-0.2917185,0.3336344,-0.41356575,-0.097844705,0.46725088,-0.5198361,-0.24655342,0.56249726,-0.498954,-0.34385636,0.615984,-0.46690848,-0.39399645,0.1713531,-0.41415885,-0.13685957,0.32537493,-0.5035035,-0.29599202,0.41793525,-0.43769386,-0.36494163,0.4541709,-0.3826604,-0.3867186,0.010006865,-0.3786502,-0.1915129,0.16620429,-0.44543272,-0.35374942,0.2637835,-0.36221275,-0.36875895,0.30093828,-0.2995162,-0.344984,-0.14575206,-0.31582928,-0.25246888,0.00032918423,-0.36307383,-0.37311745,0.09842212,-0.3167854,-0.3749433,0.14432502,-0.27836296,-0.35132462
P,0.0,0.0,0.0,0.2519348,-0.0584945,-0.09124979,0.4715973,-0.17472196,-0.16055882,0.5797028,-0.26710087,-0.23598285,0.6070672,-0.332371,-0.30729806,0.34901273,-0.38493654,-0.10759988,0.47862956,-0.48500717,-0.25837308,0.56718457,-0.4764541,-0.35624248,0.6189761,-0.454322,-0.40699115,0.19106825,-0.38837504,-0.14066422,0.34659538,-0.47026736,-0.30835992,0.43543386,-0.40877956,-0.38018334,0.47409973,-0.35537934,-0.39997736,0.03266999,-0.35650668,-0.18950081,0.19167271,-0.4026471,-0.3620315,0.27344805,-0.30828372,-0.37534702,0.30045554,-0.23722361,-0.3445179,-0.12162037,-0.2989766,-0.2453414,0.021324545,-0.32944757,-0.37169772,0.10689351,-0.27349555,-0.37176538,0.14452133,-0.22844557,-0.34359276
Q,0.0,0.0,0.0,0.25610805,-0.045335885,-0.097124256,0.49382815,-0.17030278,-0.16208133,0.6094716,-0.27566534,-0.23152114,0.66082525,-0.3552602,-0.29211128,0.35215622,-0.42844954,-0.08716757,0.4949255,-0.52579576,-0.24001682,0.5783362,-0.4995507,-0.3337327,0.6151996,-0.46516445,-0.37650162,0.18015683,-0.44481674,-0.111828215,0.3692788,-0.49070567,-0.28253704,0.44004387,-0.37597913,-0.33794594,0.44891757,-0.29545337,-0.33758274,0.011329782,-0.41873142,-0.15539002,0.20417286,-0.42657542,-0.33082855,0.25814474,-0.3043735,-0.3237357,0.2495209,-0.23027718,-0.27385744,-0.15354626,-0.36286348,-0.20690334,0.022812199,-0.36509877,-0.3282873,0.0930364,-0.282001,-0.31045175,0.10104897,-0.22923115,-0.26409653
R,0.0,0.0,0.0,0.26036453,-0.05627069,-0.10259649,0.48294654,-0.17753649,-0.17540742,0.58311605,-0.27898282,-0.25313056,0.59245473,-0.35331103,-0.3244742,0.34764475,-0.41102803,-0.10793131,0.46939597,-0.5231549,-0.26274502,0.54679793,-0.50713843,-0.36349013,0.58421826,-0.48165846,-0.41400933,0.17917715,-0.4193745,-0.13830584,0.3195974,-0.52506244,-0.30589733,0.40714228,-0.46873412,-0.3823394,0.44302216,-0.42192015,-0.40578192,0.010145592,-0.39103538,-0.18637785,0.15518878,-0.4620217,-0.3624402,0.24715953,-0.36474824,-0.3833968,0.28044787,-0.29038852,-0.35734627,-0.1550207,-0.33452678,-0.24201447,-0.026257725,-0.38603315,-0.3713936,0.065098286,-0.3356405,-0.37612927,0.10932928,-0.29364145,-0.3515529
S,0.0,0.0,0.0,0.27249867,-0.059155982,-0.108512804,0.50320774,-0.1853222,-0.18591167,0.60559833,-0.29019278,-0.26873446,0.61394143,-0.3679504,-0.34323096,0.3588876,-0.42807397,-0.11027739,0.4857439,-0.54492354,-0.2764802,0.56259054,-0.51479083,-0.37948933,0.59539723,-0.47404942,-0.42756817,0.17261183,-0.4347204,-0.1398047,0.32408163,-0.5368535,-0.32271168,0.40271017,-0.44598138,-0.39431173,0.42481336,-0.37616757,-0.40703082,-0.010306484,-0.40342534,-0.18892688,0.1418578,-0.46998248,-0.37684017,0.22152635,-0.35309783,-0.38475886,0.23896565,-0.27031985,-0.34417233,-0.18816814,-0.343473,-0.24632113,-0.053813238,-0.3911587,-0.3802575,0.032747198,-0.32653642,-0.37545753,0.065523766,-0.27716833,-0.34027678
T,0.0,0.0,0.0,0.26180115,-0.062566556,-0.094565436,0.48412973,-0.19168228,-0.16202042,0.5808814,-0.2981435,-0.23615883,0.595087,-0.37257102,-0.304473,0.35382044,-0.41734058,-0.09684233,0.47993994,-0.53256524,-0.25043818,0.5603594,-0.52209723,-0.34913334,0.6033856,-0.4963005,-0.39766848,0.181963,-0.4236887,-0.12928852,0.33026087,-0.5226565,-0.3003054,0.41143963,-0.45058924,-0.37026995,0.44146305,-0.38833612,-0.38477853,0.011462815,-0.39237216,-0.17945407,0.15965284,-0.45732576,-0.3567082,0.2410333,-0.35566333,-0.36878568,0.2657195,-0.2774262,-0.3336682,-0.15551783,-0.33303523,-0.23682073,-0.025395887,-0.38070822,-0.36373872,0.05715753,-0.32556963,-0.3614405,0.091846205,-0.2797464,-0.32991225
U,0.0,0.0,0.0,0.25692344,-0.042704783,-0.10932405,0.47140843,-0.15361467,-0.18434414,0.5623121,-0.25001723,-0.2615535,0.56695,-0.3252898,-0.33328456,0.3508365,-0.38604096,-0.12333889,0.47502977,-0.5123148,-0.2630714,0.5476985,-0.52724797,-0.34981436,0.58685845,-0.5293299,-0.39598477,0.1799557,-0.40088525,-0.1507543,0.3149993,-0.51768714,-0.30578393,0.4025619,-0.5032327,-0.3792391,0.44959062,-0.49141318,-0.40430757,0.012177308,-0.37516958,-0.19431832,0.1554173,-0.43401656,-0.3709391,0.25007108,-0.35040256,-0.40403756,0.29760092,-0.29120347,-0.38655463,-0.14695667,-0.31999993,-0.24533017,-0.009586114,-0.34557524,-0.384405,0.080473706,-0.2866315,-0.40104333,0.1277506,-0.24289088,-0.384031
V,0.0,0.0,0.0,0.24751617,-0.056534316,-0.1078832,0.4546177,-0.18037328,-0.18271697,0.5441799,-0.28337672,-0.26188278,0.5520963,-0.35807395,-0.3357725,0.30790505,-0.40740934,-0.11590271,0.42653158,-0.5289558,-0.26917687,0.51367646,-0.5299087,-0.3682734,0.5666908,-0.51514083,-0.41854614,0.14229819,-0.4128803,-0.14421938,0.27349827,-0.52801967,-0.31592327,0.36317733,-0.4801317,-0.3938062,0.40813547,-0.43769193,-0.41701955,-0.01907676,-0.38074437,-0.18973581,0.11710453,-0.45563272,-0.37291414,0.21201923,-0.35840246,-0.3957323,0.25449795,-0.28285927,-0.36805657,-0.1750283,-0.32061467,-0.24283595,-0.05857005,-0.37508157,-0.37801927,0.034181267,-0.3265642,-0.38478184,0.085030444,-0.28527883,-0.360318
W,0.0,0.0,0.0,0.24934177,-0.05977168,-0.09691136,0.45501882,-0.18008518,-0.1664432,0.5435928,-0.27779138,-0.24064128,0.55144924,-0.34986,-0.31077033,0.3267701,-0.4058495,-0.104542635,0.44784784,-0.52245754,-0.24867572,0.53581274,-0.52573836,-0.344147,0.58989614,-0.51365817,-0.394641,0.16122812,-0.41202196,-0.13715182,0.28910917,-0.5243693,-0.29232675,0.37227544,-0.48731267,-0.365995,0.4114871,-0.45516768,-0.39103967,-0.0013736081,-0.3795901,-0.18643637,0.12614529,-0.4590296,-0.35310656,0.21594247,-0.39301518,-0.38248602,0.25561604,-0.3434117,-0.36786115,-0.1568423,-0.31789044,-0.2425618,-0.030745627,-0.36742845,-0.37077358,0.06133947,-0.32234564,-0.3809195,0.109363295,-0.2837989,-0.36288843
X,0.0,0.0,0.0,0.21911871,-0.108753406,-0.088296965,0.4105876,-0.26292467,-0.1645114,0.51079905,-0.39394876,-0.24607947,0.52585876,-0.491584,-0.3205962,0.24972525,-0.44458365,-0.12830463,0.4222356,-0.5922287,-0.2915048,0.5427504,-0.5939051,-0.3721281,0.6030392,-0.5749442,-0.4031466,0.10833521,-0.42948335,-0.15970841,0.35528278,-0.5407833,-0.3452557,0.4220497,-0.4324283,-0.37824848,0.39367604,-0.37014866,-0.35933727,-0.018103242,-0.3822971,-0.20632291,0.24105969,-0.43610308,-0.40413505,0.30270043,-0.30130738,-0.36663142,0.26158214,-0.22760364,-0.28939956,-0.1389183,-0.31397843,-0.25731486,0.09130951,-0.35553232,-0.3926904,0.17215267,-0.26891744,-0.35200393,0.15232326,-0.2159585,-0.28481418
Y,0.0,0.0,0.0,0.25828934,-0.055030722,-0.09980202,0.4668541,-0.16457078,-0.18185408,0.5663783,-0.2495594,-0.2688977,0.59674007,-0.30811316,-0.34936088,0.3583536,-0.39488077,-0.14463662,0.50828373,-0.47488898,-0.31714648,0.57321066,-0.42319098,-0.42157143,0.59556043,-0.37153795,-0.47297388,0.18004368,-0.40314466,-0.17906131,0.34457147,-0.4571393,-0.36970794,0.4128665,-0.35030037,-0.43837237,0.4301652,-0.27322665,-0.45261163,0.0031093163,-0.36818084,-0.23075506,0.1553433,-0.3983927,-0.42128867,0.22562928,-0.27951002,-0.43355942,0.2437512,-0.19767535,-0.40001735,-0.16337009,-0.30545148,-0.28937194,-0.051644783,-0.33553818,-0.42789894,0.013694696,-0.28809112,-0.43731207,0.03912656,-0.25730807,-0.4157032
Z,0.0,0.0,0.0,0.28252956,-0.040615365,-0.09107341,0.5294207,-0.14025505,-0.16372015,0.648853,-0.22337204,-0.24647795,0.67568564,-0.29192916,-0.32085967,0.46930662,-0.37721616,-0.0824495,0.6093364,-0.4699295,-0.24592596,0.6805799,-0.4319762,-0.35163462,0.70639586,-0.3836132,-0.401495,0.30289462,-0.39129493,-0.11918431,0.4559044,-0.46863958,-0.29505408,0.5247565,-0.38145885,-0.36566263,0.5390456,-0.31036073,-0.37745643,0.12941961,-0.36800292,-0.17602055,0.28634873,-0.40508187,-0.35063356,0.3524754,-0.29123038,-0.36119652,0.36007047,-0.20994861,-0.3250801,-0.04171365,-0.3163866,-0.24104927,0.1046727,-0.33839184,-0.36289182,0.18369879,-0.27230507,-0.36025932,0.21241687,-0.22188532,-0.32806423
